0.0222486	0.0112913	-0.0119407	0.0466882
0.0648794	0.0677027	0.177747	0.0714957
-0.0614534	0.0819139	0.00951377	0.034781
0.007682	0.0596277	0.0667208	0.0489465
0.00293176	0.0595528	0.0539425	0.0463926
-0.0093878	0.0567563	0.0344185	0.0468166
0.0556496	0.107161	0.227188	0.117917
-0.0700027	0.0673055	-0.0380537	0.0249468
0.0265288	0.0251537	0.0140524	0.0437465
0.0353009	0.0526924	0.0747432	0.0715265
-0.0104812	0.035667	-0.0210492	0.0364512
0.0243265	0.0224664	-0.00398082	0.0432302
0.0139169	0.020594	-0.0220635	0.0405664
0.0204842	0.0193369	-0.013456	0.041558
0.0187566	0.0191096	-0.015138	0.0408398
0.0178708	0.0181698	-0.0190253	0.0404502
0.00542941	0.0200355	-0.032495	0.037614
0.00596014	0.0172785	-0.0393593	0.0383164
0.00900233	0.0166376	-0.0352584	0.039167
0.00652909	0.0171967	-0.0369831	0.038867
0.00852352	0.0170016	-0.0328455	0.0392548
0.00714205	0.0172108	-0.0336816	0.0392423
0.00720789	0.0171242	-0.0331352	0.0394073
0.00678911	0.0171243	-0.0330798	0.039525
0.0084736	0.0176502	-0.0277359	0.0396045
0.00692405	0.017958	-0.0286813	0.039527
0.0154752	0.0164158	-0.0201681	0.0416269
0.0109065	0.0162978	-0.0284614	0.0413277
0.00497952	0.0168041	-0.0338044	0.0401543
0.00659954	0.0163412	-0.0319838	0.0405818
0.0135901	0.0155184	-0.0248087	0.0422565
0.010914	0.0158714	-0.0275784	0.0420097
0.0027275	0.0167085	-0.0351598	0.0404158
0.00705356	0.0160748	-0.0302309	0.0415135
